Title,type,country,date_added,release_year,rating,IMDb,Genre,Growth Outcome
3%,TV Show,Brazil,2020-08-14,2020,TV-MA,7.4,Drama,1
Most Beautiful Thing,TV Show,Brazil,2020-06-19,2020,TV-MA,7.9,Drama,1
Omniscient,TV Show,Brazil,2020-01-29,2020,TV-MA,6.3,Drama,1
Spectros,TV Show,Brazil,2020-02-20,2020,TV-MA,4.4,Horror,0
Rich in Love,Movie,Brazil,2020-04-30,2020,TV-14,6.0,Comedy,1
The Circle Brazil,TV Show,Brazil,2020-03-11,2020,TV-MA,6.9,Reality,1
Unstoppable,TV Show,Mexico,2020-02-28,2020,TV-MA,7.2,Drama,1
Diablero,TV Show,Mexico,2020-01-31,2020,TV-MA,6.6,Action & Adventure,1
Narcos: Mexico,TV Show,Mexico,2020-02-13,2020,TV-MA,8.4,Crime,1
Alex Fernández: The Best Comedian in the World,Movie,Mexico,2020-01-23,2020,TV-MA,6.9,Comedy,1
The House of Flowers,TV Show,Mexico,2020-04-23,2020,TV-MA,7.7,Comedy,1
All Day and a Night,Movie,United States,2020-05-01,2020,R,5.9,Drama,1
Greenhouse Academy,TV Show,United States,2020-03-20,2020,TV-PG,7.0,Drama,1
Greenleaf,TV Show,United States,2020-09-10,2020,TV-14,7.3,Drama,1
Hollywood,TV Show,United States,2020-05-01,2020,TV-MA,7.7,Drama,1
Horse Girl,Movie,United States,2020-02-07,2020,R,5.9,Drama,1
John Henry,Movie,United States,2020-05-09,2020,R,3.5,Drama,1
Lost Girls,Movie,United States,2020-03-13,2020,R,6.1,Drama,1
Messiah,TV Show,United States,2020-01-01,2020,TV-MA,7.7,Drama,1
October Faction,TV Show,United States,2020-01-23,2020,TV-MA,6.1,Drama,1
Outer Banks,TV Show,United States,2020-04-15,2020,TV-MA,7.6,Drama,1
Residue,Movie,United States,2020-09-17,2020,TV-MA,6.1,Drama,1
Roped,Movie,United States,2020-05-02,2020,PG,5.5,Drama,1
"Roswell, New Mexico",TV Show,United States,2020-06-23,2020,TV-14,6.1,Drama,1
Self Made: Inspired by the Life of Madam C.J. Walker,TV Show,United States,2020-03-20,2020,TV-MA,7.4,Drama,1
Sergio,Movie,United States,2020-04-17,2020,R,6.1,Drama,1
Spinning Out,TV Show,United States,2020-01-01,2020,TV-MA,7.7,Drama,1
Sweet Magnolias,TV Show,United States,2020-05-19,2020,TV-14,6.9,Drama,1
The 100,TV Show,United States,2020-10-08,2020,TV-14,7.7,Drama,1
The Last Thing He Wanted,Movie,United States,2020-02-21,2020,R,4.2,Drama,1
The Magicians,TV Show,United States,2021-01-15,2020,TV-MA,7.6,Drama,1
The Order,TV Show,United States,2020-06-18,2020,TV-MA,6.9,Drama,1
The Stand at Paxton County,Movie,United States,2020-05-02,2020,R,6.4,Drama,1
Tigertail,Movie,United States,2020-04-10,2020,PG,6.4,Drama,1
Trinkets,TV Show,United States,2020-08-25,2020,TV-MA,7.1,Drama,1
Uncorked,Movie,United States,2020-03-27,2020,TV-MA,6.1,Drama,1
Virgin River,TV Show,United States,2020-11-27,2020,TV-14,7.5,Drama,1
WHAT DID JACK DO?,Movie,United States,2020-01-20,2020,TV-14,6.5,Drama,1
Castlevania,TV Show,United States,2020-03-05,2020,TV-MA,8.2,Horror,0
Chilling Adventures of Sabrina,TV Show,United States,2020-12-31,2020,TV-14,7.6,Horror,0
DC's Legends of Tomorrow,TV Show,United States,2020-06-10,2020,TV-14,6.8,Action & Adventure,1
Dragonheart: Vengeance,Movie,United States,2020-02-04,2020,PG-13,5.1,Action & Adventure,1
Extraction,Movie,United States,2020-04-24,2020,R,6.8,Action & Adventure,1
Marvel's Agents of S.H.I.E.L.D.,TV Show,United States,2020-10-30,2020,TV-14,7.5,Action & Adventure,1
The Umbrella Academy,TV Show,United States,2020-07-31,2020,TV-14,7.9,Action & Adventure,1
13 Reasons Why,TV Show,United States,2020-06-05,2020,TV-MA,7.8,Crime,1
Altered Carbon,TV Show,United States,2020-02-27,2020,TV-MA,8.1,Crime,1
Dirty Money,TV Show,United States,2020-03-11,2020,TV-MA,8.1,Crime,1
How to Fix a Drug Scandal,TV Show,United States,2020-04-01,2020,TV-MA,6.9,Crime,1
How to Get Away with Murder,TV Show,United States,2020-06-13,2020,TV-14,8.1,Crime,1
