Title,release_year,IMDb
The Negro Soldier,1944,5.9
Know Your Enemy - Japan,1945,5.9
Ujala,1959,6
Elaan,1971,5.9
Khoon Khoon,1973,5.2
Immoral Tales,1974,5.6
Salaakhen,1975,5.3
Carrie,1976,5.5
Chadi Jawani Budhe Nu,1976,4.5
Bandie,1978,4.7
Benji's Very Own Christmas Story,1978,5.2
Popeye,1980,5.3
Mahjong Heroes,1981,5.3
Little Dragon Maiden,1983,5.9
On the Wrong Track,1983,5.9
Mr. Virgin,1984,5.2
Prince Charming,1984,5.6
The Young Vagabond,1985,5.6
A Stoning in Fulham County,1988,5.7
Aakhri Adaalat,1988,5.3
School Daze,1988,6
Doubles Cause Troubles,1989,5.3
Mujrim,1989,5.6
In Defense of a Married Man,1990,5.6
Tim Allen: Men Are Pigs,1990,5.9
Casino Tycoon,1992,6
A Dangerous Woman,1993,5.8
Maya Memsaab,1993,5.3
Sliver,1993,5
It Takes Two,1995,5.9
Ram Jaane,1995,5.4
Chaahat,1996,5.5
English Babu Desi Mem,1996,4.7
Judwaa,1997,6
The Peacemaker,1997,5.9
Duplicate,1998,5.5
Qila,1998,5.2
The Rugrats Movie,1998,5.9
Stuart Little,1999,5.9
Papa the Great,2000,5.4
Snow Day,2000,5.1
Jimmy Neutron: Boy Genius,2001,6
Kyo Kii... Main Jhuth Nahin Bolta,2001,5.3
"My Schoolmate, the Barbarian",2001,5.8
One 2 Ka 4,2001,5.4
Tremors 3: Back to Perfection,2001,5.3
Martin Lawrence Live: Runteldat,2002,5.4
Stuart Little 2,2002,5.4
The Time Machine,2002,6
Mumbai Matinee,2003,5.2
What a Girl Wants,2003,5.8
Krishna Cottage,2004,5.1
Sleepover,2004,5.3
Spookley the Square Pumpkin,2004,5
The Twins Effect II,2004,4.9
Tremors 4: The Legend Begins,2004,5.3
Chicken Little,2005,5.7
Ek Khiladi Ek Haseena,2005,5.8
Lucky: No Time for Love,2005,4.7
Shabd,2005,5.1
The Amityville Horror,2005,6
All the Boys Love Mandy Lane,2006,5.5
Anthony Kaun Hai?,2006,5.3
Brother's Shadow,2006,5.9
Final Destination 3,2006,5.8
Humko Deewana Kar Gaye,2006,5.2
Koi Aap Sa,2006,5.4
Let's Dance,2006,5.9
Nacho Libre,2006,5.7
P,2006,5.1
World Trade Center,2006,5.9
Zoom,2006,4.4
Dhan Dhana Dhan Goal,2007,4.9
Garfield Gets Real,2007,4.4
Ghost Rider,2007,5.2
Hattrick,2007,4.2
Murder Party,2007,5.8
The Heartbreak Kid,2007,5.8
Twins Mission,2007,5.3
C Kkompany,2008,5.4
Contract,2008,4.2
Garfield's Fun Fest,2008,4.4
Interview with a Serial Killer,2008,5.9
Kismat Konnection,2008,5.2
Sat Sri Akal,2008,5.8
The Longshots,2008,5.4
The Only Mother To You All,2008,5.4
Aagey Se Right,2009,5.1
Carriers,2009,6
Cirque du Freak: The Vampire's Assistant,2009,5.8
Dhoondte Reh Jaoge,2009,5.6
Garfield's Pet Force,2009,4.1
Imagine That,2009,5.6
Kisaan,2009,5.4
Kurbaan,2009,5.7
Look for a Star,2009,5.6
Race to Witch Mountain,2009,5.7
Road Trip: Beer Pong,2009,4.9
Shorts,2009,4.7
The Final Destination,2009,5.2
"The Goods: Live Hard, Sell Hard",2009,5.8
What's Your Raashee?,2009,4.6
Çok Filim Hareketler Bunlar,2010,4.3
Action Replayy,2010,4.2
Bang Rajan 2,2010,5.5
Barbie: A Fairy Secret,2010,5.7
Cats & Dogs: The Revenge of Kitty Galore,2010,4.3
Chance Pe Dance,2010,4.7
Dinner for Schmucks,2010,5.9
Don't Be Afraid of the Dark,2010,5.6
Hunt to Kill,2010,5.2
I Hate Luv Storys,2010,5.6
Once a Gangster,2010,5.8
Resident Evil: Afterlife,2010,5.8
Romantik Komedi,2010,5.3
Sex and the City 2,2010,4.5
Still,2010,4.4
The Bounty Hunter,2010,5.6
The Boy Who Cried Werewolf,2010,6
The Last Airbender,2010,4.1
The Tourist,2010,6
Tum Milo Toh Sahi,2010,5.7
