Title,IMDb
Inception,8.8
The Matrix,8.7
Avengers: Infinity War,8.5
Back to the Future,8.5
"The Good, the Bad and the Ugly",8.8
Spider-Man: Into the Spider-Verse,8.4
The Pianist,8.5
Django Unchained,8.4
Raiders of the Lost Ark,8.4
Inglourious Basterds,8.3
Taxi Driver,8.3
3 Idiots,8.4
Pan's Labyrinth,8.2
Room,8.1
Monty Python and the Holy Grail,8.2
Once Upon a Time in the West,8.5
Indiana Jones and the Last Crusade,8.2
Groundhog Day,8.0
The King's Speech,8.0
Her,8.0
There Will Be Blood,8.2
The Social Network,7.7
Dallas Buyers Club,8.0
The Perks of Being a Wallflower,8.0
Life of Brian,8.1
Ex Machina,7.7
Silver Linings Playbook,7.7
District 9,7.9
The Irishman,7.9
Moon,7.9
Marriage Story,8.0
Drive,7.8
Train to Busan,7.5
Incredibles 2,7.6
Dangal,8.4
Klaus,8.2
Minority Report,7.6
Mystic River,7.9
Like Stars on Earth,8.4
Ferris Bueller's Day Off,7.8
Despicable Me,7.6
Hell or High Water,7.6
Sin City,8.0
Ip Man,8.0
Indiana Jones and the Temple of Doom,7.6
The Theory of Everything,7.7
The Pursuit of Happyness,8.0
Senna,8.5
Scott Pilgrim vs. the World,7.5
Magnolia,8.0
The Hateful Eight,7.8
The Artist,7.9
Moonlight,7.4
Back to the Future Part II,7.8
Willy Wonka & the Chocolate Factory,7.8
What's Eating Gilbert Grape,7.8
The Curious Case of Benjamin Button,7.8
A Silent Voice,8.2
Snowpiercer,7.1
Hugo,7.5
Ant-Man and the Wasp,7.1
As Good as It Gets,7.7
Back to the Future Part III,7.4
Searching for Sugar Man,8.2
Road to Perdition,7.7
To All the Boys I've Loved Before,7.2
Molly's Game,7.4
Blackfish,8.1
El Camino: A Breaking Bad Movie,7.4
The Invisible Guest,8.1
Song of the Sea,8.1
End of Watch,7.6
The Evil Dead,7.5
About Time,7.8
Kung Fu Hustle,7.7
Blue Is the Warmest Color,7.7
Y Tu Mamá También,7.6
The Naked Gun: From the Files of Police Squad!,7.6
Mud,7.4
The Edge of Seventeen,7.3
Philadelphia,7.7
Lagaan: Once Upon a Time in India,8.1
Tucker and Dale vs. Evil,7.5
The Matrix Reloaded,7.2
The Two Popes,7.6
The Last Samurai,7.7
The Florida Project,7.6
13th,8.2
Bahubali: The Beginning,8.1
The Dawn Wall,8.1
Dolemite Is My Name,7.3
Tarzan,7.3
The Platform,7.0
