Title,release_year,IMDb
Ninja Turtles: The Next Mutation,1997,4.4
Lavender,2002,5.4
Bo on the Go!,2007,5.2
Dinosaur King,2008,5.5
Sid the Science Kid,2008,5.4
Easy Fortune Happy Life,2009,5.6
A Man Called God,2010,5.8
The Jaime Maussan Show,2010,4.9
The In-Laws,2011,5.7
Care Bears: Welcome to Care-a-Lot,2012,5.4
Masha's Spooky Stories,2012,5
Monster Math Squad,2012,5
Happy 300 Days,2013,4.3
Johnny Test,2013,4.9
Minute to Win It,2013,5.1
My Tattoo Addiction,2013,4.3
Russell Peters vs. the World,2013,5.5
Angel 'N' Devil,2014,4.9
Braxton Family Values,2014,5.9
Idiotest,2014,5.7
Julius Jr.,2014,5.4
Pac-Man and the Ghostly Adventures,2014,4.8
Sammy & Co,2014,5.8
Tayo the Little Bus,2014,5.5
Bella and the Bulldogs,2015,5.2
Jumping Girl,2015,5.2
Miss Rose,2015,6
Razia Sultan,2015,5.7
Storage Wars: Northern Treasures,2015,5.7
The Wiggles,2015,5.7
Winx Club,2015,5.9
Yo-Kai Watch,2015,5.9
72 Cutest Animals,2016,5.7
Atomic Puppet,2016,5.1
Between,2016,6
Netflix Presents: The Characters,2016,5.1
Nurses Who Kill,2016,5.9
Pacific Heat,2016,5.7
The Rap Game,2016,5.3
Vroomiz,2016,4.9
100% Hotter,2017,4.4
Age Gap Love,2017,5.8
Black Crows,2017,4.4
Bottersnikes & Gumbles,2017,5.1
Dawn of the Croods,2017,5.9
Harry & Bunnie,2017,4
Haters Back Off,2017,6
Hotel Transylvania,2017,5.3
ID-0,2017,6
Inspector Gadget,2017,4.4
Kibaoh Klashers,2017,5.9
La Piloto,2017,5.6
Project Mc²,2017,6
Re:Mind,2017,5
The Mist,2017,5.4
Tjovitjo,2017,4.8
A Little Help with Carol Burnett,2018,6
Afflicted,2018,4.9
All About the Washingtons,2018,4.2
Champions,2018,6
Cooking on High,2018,4.9
Edha,2018,4.7
Empire Games,2018,5.6
Fate/EXTRA Last Encore,2018,5.3
Follow This,2018,4.8
Fugitiva,2018,5.6
Home: Adventures with Tip & Oh,2018,5.8
Immortals,2018,5.5
Inside the Criminal Mind,2018,5.4
Iron Ladies,2018,6
Kong: King of the Apes,2018,5.8
Learning Time with Timmy,2018,5.5
Made in Mexico,2018,4
Marching Orders,2018,5.9
Mob Psycho 100,2018,5.1
Neo Yokio,2018,5.8
Nightflyers,2018,5.9
PJ Masks,2018,5.6
Rabbids Invasion,2018,5
Robot Trains,2018,5.4
Robozuna,2018,6
Rosario Tijeras,2018,5.9
Slobby's World,2018,5.8
Spy Kids: Mission Critical,2018,4.6
Stand Up and Away! with Brian Regan,2018,5.8
Stunt Science,2018,4.6
Super Drags,2018,5.6
Terrorism Close Calls,2018,5.8
The A List,2018,5.3
The Break with Michelle Wolf,2018,5.2
The Comedy Lineup,2018,5.7
The Garfield Show,2018,5.3
The Investigator: A British Crime Story,2018,5.7
The Sound of Your Heart: Reboot,2018,5.6
Top 10 Secrets and Mysteries,2018,5.1
Top Grier,2018,5.6
Vai Anitta,2018,5.3
Valor,2018,5.9
Westside,2018,5.8
Another Life,2019,4.9
ARASHI's Diary -Voyage-,2019,6
Charmed,2019,4.5
Chosen,2019,5.5
Flinch,2019,4
Haunted,2019,4.5
Historical Roasts,2019,5.3
Ladies Up,2019,4.1
Malibu Rescue: The Series,2019,5.1
Nailed It! Spain,2019,5.4
No Good Nick,2019,5.8
No Time for Shame,2019,5.3
Nowhere Man,2019,5.4
Osmosis,2019,5.9
Pinky Malinky,2019,5.6
Prank Encounters,2019,5
Prince of Peoria,2019,5.4
Super Bheem,2019,5.7
The Chosen One,2019,5.6
The I-Land,2019,4.5
Trolls: The Beat Goes On!,2019,5.7
Two Sentence Horror Stories,2019,5.5
Yanxi Palace: Princess Adventures,2019,6
Yummy Mummies,2019,4
Zona Rosa,2019,5.8
Ares,2020,5.6
Brews Brothers,2020,4.8
Fast & Furious Spy Racers,2020,5.2
Luna Nera,2020,5.5
Medical Police,2020,5.8
Nailed It! Germany,2020,5.6
Puerta 7,2020,5.5
Queen Sono,2020,5.8
Spectros,2020,4.4
Team Kaylie,2020,4.2
The Ghost Bride,2020,5.8
The Iliza Shlesinger Sketch Show,2020,4.8
The Letter for the King,2020,5.9
Too Hot to Handle,2020,4.5
Vampires,2020,5.4
