Title,type,country,date_added,release_year,rating,duration,description,IMDb,Genre,Avg Rating per Genre,Growth Outcome
3%,TV Show,Brazil,2020-08-14,2020,TV-MA,4 Seasons,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.",7.4,Drama,6.57,0
7:19,Movie,Mexico,2016-12-23,2016,TV-MA,93 min,"After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.",6.0,Drama,6.57,0
23:59,Movie,Singapore,2018-12-20,2011,R,78 min,"When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.",4.7,Horror,5.52,0
9,Movie,United States,2017-11-16,2009,PG-13,80 min,"In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.",7.1,Action & Adventure,6.14,0
21,Movie,United States,2020-01-01,2008,PG-13,123 min,A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.,6.8,Drama,6.57,0
46,TV Show,Turkey,2017-07-01,2016,TV-MA,1 Season,"A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.",8.5,Drama,6.57,0
706,Movie,India,2019-04-01,2019,TV-14,118 min,"When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on.",5.3,Horror,5.52,0
1920,Movie,India,2017-12-15,2008,TV-MA,143 min,An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.,6.4,Horror,5.52,0
1922,Movie,United States,2017-10-20,2017,TV-MA,103 min,"A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.",6.3,Drama,6.57,0
1983,TV Show,"Poland, United States",2018-11-30,2018,TV-MA,1 Season,"In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",6.8,Crime,7.41,1
1994,TV Show,Mexico,2019-05-17,2019,TV-MA,1 Season,"Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.",8.0,Crime,7.41,1
"2,215",Movie,Thailand,2019-03-01,2018,TV-MA,89 min,"This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.",7.9,Documentaries,7.03,0
3022,Movie,United States,2020-03-19,2019,R,91 min,"Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.",4.5,Sci-Fi & Fantasy,5.82,0
22-Jul,Movie,"Norway, Iceland, United States",2018-10-10,2018,R,144 min,"After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.",6.8,Drama,6.57,0
15-Aug,Movie,India,2019-03-29,2019,TV-14,124 min,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",5.8,Comedy,6.34,0
(T)ERROR,Movie,United States,2016-06-30,2015,NR,84 min,This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.,6.6,Documentaries,7.03,0
#blackAF,TV Show,United States,2020-04-17,2020,TV-MA,1 Season,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",6.6,Comedy,6.34,0
#cats_the_mewvie,Movie,Canada,2020-02-05,2020,TV-14,90 min,"This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.",5.2,Documentaries,7.03,0
#realityhigh,Movie,United States,2017-09-08,2017,TV-14,99 min,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",5.2,Comedy,6.34,0
#Rucker50,Movie,United States,2016-12-01,2016,TV-PG,56 min,This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.,5.3,Documentaries,7.03,0
#Selfie,Movie,Romania,2019-06-01,2014,TV-MA,125 min,"Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.",6.1,Comedy,6.34,0
"¡Ay, mi madre!",Movie,Spain,2019-07-19,2019,TV-MA,81 min,"When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.",3.8,Comedy,6.34,0
Çok Filim Hareketler Bunlar,Movie,Turkey,2017-03-10,2010,TV-MA,99 min,"Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off.",4.3,Comedy,6.34,0
10 jours en or,Movie,France,2017-07-01,2012,TV-14,97 min,"When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.",5.8,Comedy,6.34,0
100 Meters,Movie,"Portugal, Spain",2017-03-10,2016,TV-MA,109 min,"A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.",7.5,Drama,6.57,0
100% Hotter,TV Show,United Kingdom,2019-11-01,2017,TV-14,1 Season,"A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.",4.4,Reality,6.48,0
1000 Rupee Note,Movie,India,2016-12-01,2014,TV-14,89 min,"After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly.",7.3,Drama,6.57,0
13 Cameras,Movie,United States,2016-08-13,2015,NR,90 min,"Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras.",5.1,Horror,5.52,0
13 Reasons Why,TV Show,United States,2020-06-05,2020,TV-MA,4 Seasons,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",7.8,Crime,7.41,1
13 Reasons Why: Beyond the Reasons,TV Show,United States,2019-08-23,2019,TV-MA,3 Seasons,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""",6.5,Crime,7.41,1
13 Sins,Movie,United States,2019-01-13,2014,R,93 min,"A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake.",6.3,Horror,5.52,0
